text	category	priority	website		logo
24seven	Frame manufacturer	10	http://www.leisurelakesbikes.com/bikes/bmx-bikes/b/24seven	
3G	Frame manufacturer	10	http://www.3gbikes.com/	
3T	Manufacturer	10		
3rd Eye	Manufacturer	10		
3rensho	Frame manufacturer	10		
45North	Manufacturer	10		
4ZA	Manufacturer	10		
6KU	Frame manufacturer	10	http://6kubikes.com	
9 zero 7	Frame manufacturer	10	https://www.facebook.com/9Zero7Bikes	
A-Class	Manufacturer	10		
A-bike	Frame manufacturer	10	http://www.a-bike.co.uk/	
A2B e-bikes	Frame manufacturer	10	http://www.wearea2b.com/us/	
ABI	Manufacturer	10		
ACS	Manufacturer	10		
AGang	Frame manufacturer	10	http://www.agang.eu	
ALAN	Frame manufacturer	10	http://www.alanbike.it/	
AMF	Frame manufacturer	10		
AXA	Manufacturer	10	http://www.axa-stenman.com/en/bicycle-components/locks/frame-locks/defender/	
Aardvark	Manufacturer	10		
Abici	Frame manufacturer	10	http://www.abici-italia.it/en/index.html	
Abus	Manufacturer	10	http://www.abus.com/eng/Mobile-Security/Bike-safety-and-security/Locks	
Accelerade	Manufacturer	10		
Accell	Frame manufacturer	10	http://www.accell-group.com/uk/accell-group.asp	
Access	Frame manufacturer	10	https://www.performancebike.com/	
Acros	Manufacturer	10		
Acstar	Frame manufacturer	10	http://www.acstar.cz/	
Adams (Trail a bike)	Frame manufacturer	10	http://www.trail-a-bike.com/	
Adolphe Clément	Frame manufacturer	10		
Adventure Medical Kits	Manufacturer	10		
Aegis	Frame manufacturer	10	http://www.aegisbicycles.com/home.html	
Aerofix Cycles	Frame manufacturer	10	http://www.aerofixcycles.com/	
Affinity Cycles	Frame manufacturer	10	http://affinitycycles.com/	
AheadSet	Manufacturer	10		
Airborne	Frame manufacturer	10	http://www.airbornebicycles.com/	
Aist Bicycles	Frame manufacturer	10	http://aist-bike.com/	
Aladdin	Manufacturer	10		
Alcyon	Frame manufacturer	10		
Alex	Manufacturer	10		
Alexander Leutner & Co.	Frame manufacturer	10		
Alien Bikes	Frame manufacturer	10	http://alienbikes.com/	
Alienation	Manufacturer	10		
Alite Designs	Manufacturer	10		
All City	Frame manufacturer	100	http://allcitycycles.com	https://files.bikeindex.org/uploads/Ma/371/all-city.png
Alldays & Onions	Frame manufacturer	10		
Alliance	Frame manufacturer	10	http://alliancebicycles.com/	
Alton	Frame manufacturer	10	http://altonus.com/	
American Bicycle Company	Frame manufacturer	10		
American Classic	Manufacturer	10		
American Machine and Foundry	Frame manufacturer	10		
American Star Bicycle	Frame manufacturer	10		
Amoeba	Frame manufacturer	10	http://www.amoebaparts.com/	
And	Manufacturer	10		
Andiamo	Manufacturer	10		
Answer BMX	Manufacturer	10		
Apollo	Frame manufacturer	10	http://www.apollobikes.com/	
Aqua Sphere	Manufacturer	10		
Aquamira	Manufacturer	10		
Arai	Manufacturer	10		
Argon 18	Frame manufacturer	10	http://www.argon18bike.com/velo.html	
Asama	Frame manufacturer	10	http://www.asamabicycles.com/	
Asda	Frame manufacturer	10	http://direct.asda.com/Bikes/AD080202,default,sc.html	
Assos	Manufacturer	10		
Atala	Frame manufacturer	10		
Atomlab	Frame manufacturer	10	http://www.atomlab.com/	
Author	Frame manufacturer	10	http://www.author.eu/	
Avalon	Frame manufacturer	10	http://www.walmart.com/	
Avanti	Frame manufacturer	10	http://www.avantibikes.com/nz/	
Aventón	Frame manufacturer	10	http://aventonbikes.com/	
Avid	Manufacturer	10		
Axiom	Manufacturer	10		
Axle Release	Manufacturer	10		
Azonic	Frame manufacturer	10	http://www.oneal.com/index.php/home/azonic-prime	
Azor	Frame manufacturer	10	http://www.azor.nl/	
Aztec	Manufacturer	10		
Azzuri	Frame manufacturer	10	http://www.azzurribikes.com/	
BCA	Manufacturer	10		
BH Bikes (Beistegui Hermanos)	Frame manufacturer	10	http://bhbikes-us.com	
BMC	Frame manufacturer	10	http://www.bmc-racing.com	
BOB	Manufacturer	10	http://www.bobgear.com/bike-trailers	
BONT	Manufacturer	10		
BOX	Manufacturer	10		
BSD	Manufacturer	10		
BULLITT	Frame manufacturer	10	http://www.larryvsharry.com/english/	
